event,language,accuracy,precision,recall,f1_score,auc_roc,test_sample,training_sample,total_sample,model_filename,vectorizer_filename,up_accuracy,down_accuracy,total_up,total_down,correct_up,correct_down,up_predictions_pct,down_predictions_pct
product_services_announcement,en,1.0,1.0,1.0,1.0,1.0,20,77,97,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\product_services_announcement_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\product_services_announcement_tfidf_vectorizer_binary.joblib,100.0,100.0,10,10,10,10,50.0,50.0
partnerships,en,1.0,1.0,1.0,1.0,1.0,14,55,69,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\partnerships_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\partnerships_tfidf_vectorizer_binary.joblib,100.0,100.0,7,7,7,7,50.0,50.0
voting_rights,en,1.0,1.0,1.0,1.0,1.0,5,17,22,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\voting_rights_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\voting_rights_tfidf_vectorizer_binary.joblib,100.0,100.0,1,4,1,4,20.0,80.0
geographic_expansion,en,1.0,1.0,1.0,1.0,1.0,4,15,19,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\geographic_expansion_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\geographic_expansion_tfidf_vectorizer_binary.joblib,100.0,100.0,3,1,3,1,75.0,25.0
mergers_acquisitions,en,1.0,1.0,1.0,1.0,1.0,12,44,56,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\mergers_acquisitions_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\mergers_acquisitions_tfidf_vectorizer_binary.joblib,100.0,100.0,7,5,7,5,58.333333333333336,41.66666666666667
capital_investment,en,1.0,1.0,1.0,1.0,1.0,4,12,16,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\capital_investment_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\capital_investment_tfidf_vectorizer_binary.joblib,100.0,100.0,2,2,2,2,50.0,50.0
interim_information,en,1.0,1.0,1.0,1.0,1.0,3,10,13,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\interim_information_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\interim_information_tfidf_vectorizer_binary.joblib,100.0,100.0,1,2,1,2,33.33333333333333,66.66666666666666
fund_data_announcement,en,1.0,1.0,1.0,1.0,1.0,7,26,33,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\fund_data_announcement_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\fund_data_announcement_tfidf_vectorizer_binary.joblib,100.0,100.0,6,1,6,1,85.71428571428571,14.285714285714285
patents,en,1.0,1.0,1.0,1.0,1.0,6,24,30,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\patents_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\patents_tfidf_vectorizer_binary.joblib,100.0,100.0,3,3,3,3,50.0,50.0
clinical_study,en,0.8546511627906976,0.8064516129032258,0.9146341463414634,0.8571428571428571,0.8920731707317073,172,685,857,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\clinical_study_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\clinical_study_tfidf_vectorizer_binary.joblib,91.46341463414635,80.0,82,90,75,72,54.06976744186046,45.93023255813954
management_changes,en,0.8518518518518519,0.7,0.875,0.7777777777777778,0.9440789473684211,27,107,134,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\management_changes_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\management_changes_tfidf_vectorizer_binary.joblib,87.5,84.21052631578947,8,19,7,16,37.03703703703704,62.96296296296296
financing_agreements,en,0.85,1.0,0.625,0.7692307692307693,0.96875,20,80,100,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financing_agreements_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financing_agreements_tfidf_vectorizer_binary.joblib,62.5,100.0,8,12,5,12,25.0,75.0
all_events,en,0.8449197860962567,0.8304498269896193,0.8633093525179856,0.8465608465608465,0.9056740473345705,561,2241,2802,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\all_events_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\all_events_tfidf_vectorizer_binary.joblib,86.33093525179856,82.68551236749117,278,283,240,234,51.515151515151516,48.484848484848484
financial_results,en,0.8387096774193549,0.9285714285714286,0.7647058823529411,0.8387096774193549,0.9222689075630253,31,123,154,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financial_results_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financial_results_tfidf_vectorizer_binary.joblib,76.47058823529412,92.85714285714286,17,14,13,13,45.16129032258064,54.83870967741935
exchange_announcement,en,0.8333333333333334,0.5,0.5,0.5,0.9,12,45,57,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\exchange_announcement_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\exchange_announcement_tfidf_vectorizer_binary.joblib,50.0,90.0,2,10,1,9,16.666666666666664,83.33333333333334
trade_show,en,0.8333333333333334,0.0,0.0,0.0,1.0,6,20,26,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\trade_show_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\trade_show_tfidf_vectorizer_binary.joblib,0.0,100.0,1,5,0,5,0.0,100.0
changes_in_companys_own_shares,en,0.8181818181818182,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9666666666666667,11,41,52,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\changes_in_companys_own_shares_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\changes_in_companys_own_shares_tfidf_vectorizer_binary.joblib,83.33333333333334,80.0,6,5,5,4,54.54545454545454,45.45454545454545
press_releases,en,0.8181818181818182,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9166666666666667,11,44,55,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\press_releases_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\press_releases_tfidf_vectorizer_binary.joblib,83.33333333333334,80.0,6,5,5,4,54.54545454545454,45.45454545454545
company_regulatory_filings,en,0.8,0.6666666666666666,1.0,0.8,0.9166666666666667,5,18,23,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\company_regulatory_filings_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\company_regulatory_filings_tfidf_vectorizer_binary.joblib,100.0,66.66666666666666,2,3,2,2,60.0,40.0
licensing_agreements,en,0.8,0.75,1.0,0.8571428571428571,0.6666666666666666,5,20,25,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\licensing_agreements_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\licensing_agreements_tfidf_vectorizer_binary.joblib,100.0,50.0,3,2,3,1,80.0,20.0
annual_general_meeting,en,0.75,1.0,0.25,0.4,1.0,12,45,57,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\annual_general_meeting_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\annual_general_meeting_tfidf_vectorizer_binary.joblib,25.0,100.0,4,8,1,8,8.333333333333332,91.66666666666666
business_contracts,en,0.75,0.6666666666666666,1.0,0.8,1.0,8,28,36,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\business_contracts_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\business_contracts_tfidf_vectorizer_binary.joblib,100.0,50.0,4,4,4,2,75.0,25.0
regulatory_filings,en,0.7333333333333333,0.6363636363636364,1.0,0.7777777777777778,0.7232142857142857,15,57,72,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\regulatory_filings_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\regulatory_filings_tfidf_vectorizer_binary.joblib,100.0,50.0,7,8,7,4,73.33333333333333,26.666666666666668
conference_call_webinar,en,0.7014925373134329,0.72,0.5806451612903226,0.6428571428571429,0.8503584229390682,67,264,331,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\conference_call_webinar_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\conference_call_webinar_tfidf_vectorizer_binary.joblib,58.06451612903226,80.55555555555556,31,36,18,29,37.3134328358209,62.68656716417911
earnings_releases_and_operating_results,en,0.6875,0.75,0.5625,0.6428571428571429,0.783203125,32,127,159,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\earnings_releases_and_operating_results_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\earnings_releases_and_operating_results_tfidf_vectorizer_binary.joblib,56.25,81.25,16,16,9,13,37.5,62.5
prospectus_announcement,en,0.6666666666666666,0.0,0.0,0.0,0.5,3,11,14,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\prospectus_announcement_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\prospectus_announcement_tfidf_vectorizer_binary.joblib,0.0,100.0,1,2,0,2,0.0,100.0
share_capital_increase,en,0.6666666666666666,0.0,0.0,0.0,1.0,3,9,12,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\share_capital_increase_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\share_capital_increase_tfidf_vectorizer_binary.joblib,0.0,100.0,1,2,0,2,0.0,100.0
shares_issue,en,0.5625,0.5,0.14285714285714285,0.2222222222222222,0.8650793650793651,16,63,79,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\shares_issue_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\shares_issue_tfidf_vectorizer_binary.joblib,14.285714285714285,88.88888888888889,7,9,1,8,12.5,87.5
corporate_action,en,0.5454545454545454,0.6,0.8571428571428571,0.7058823529411765,0.8571428571428571,11,40,51,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\corporate_action_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\corporate_action_tfidf_vectorizer_binary.joblib,85.71428571428571,0.0,7,4,6,0,90.9090909090909,9.090909090909092
